idx,ok,p,consistency
68,3,"[0.3093333333333333, 0.26633333333333337, 0.4243333333333333]",0.97
69,3,"[0.48299999999999993, 0.248, 0.269]",1.0
70,3,"[0.3216666666666667, 0.3133333333333333, 0.365]",0.9916666666666667
71,3,"[0.47333333333333333, 0.26666666666666666, 0.26]",0.9533333333333334
72,3,"[0.5623333333333334, 0.267, 0.17066666666666666]",0.994
73,3,"[0.48551448551448556, 0.29570429570429574, 0.2187812187812188]",1.0
74,3,"[0.7293333333333334, 0.155, 0.11566666666666665]",0.9393333333333334
75,3,"[0.3393333333333333, 0.26933333333333337, 0.3913333333333333]",0.9766666666666667
76,3,"[0.45, 0.3133333333333333, 0.23666666666666666]",0.9933333333333333
77,3,"[0.436, 0.28400000000000003, 0.27999999999999997]",0.986
78,3,"[0.1416666666666667, 0.24, 0.6183333333333333]",0.9833333333333333
79,3,"[0.45, 0.25, 0.3]",1.0
80,3,"[0.36033333333333334, 0.30266666666666664, 0.337]",0.9816666666666667
81,3,"[0.42166666666666663, 0.329, 0.24933333333333332]",0.9866666666666667
82,3,"[0.445, 0.299, 0.256]",0.988
83,3,"[0.5235374149659865, 0.2518367346938775, 0.22462585034013605]",0.9692517006802721
84,3,"[0.25466666666666665, 0.3, 0.44533333333333336]",0.9906666666666667
85,3,"[0.19366666666666665, 0.277, 0.5293333333333333]",0.9066666666666667
86,3,"[0.3786666666666667, 0.3, 0.3213333333333333]",0.948
87,3,"[0.7203333333333334, 0.18733333333333332, 0.09233333333333332]",0.9550000000000001
88,3,"[0.262, 0.3133333333333333, 0.4246666666666667]",0.9846666666666667
89,3,"[0.23, 0.25, 0.52]",1.0
90,3,"[0.3499999999999999, 0.31, 0.34]",0.98
91,3,"[0.22833333333333336, 0.2876666666666667, 0.484]",0.9319999999999999
92,3,"[0.6083333333333334, 0.22866666666666666, 0.163]",0.9576666666666667
93,3,"[0.3516666666666666, 0.256, 0.39233333333333337]",0.9873333333333333
94,3,"[0.8196666666666667, 0.12666666666666668, 0.05366666666666667]",0.95
95,3,"[0.6062052052052053, 0.20773506840173506, 0.18605972639305976]",0.9821878545211878
96,3,"[0.657, 0.18733333333333335, 0.15566666666666665]",0.9966666666666667
97,3,"[0.4166666666666667, 0.2833333333333334, 0.3]",0.9333333333333333
98,3,"[0.25, 0.3, 0.45]",1.0
99,3,"[0.5166666666666667, 0.23666666666666666, 0.24666666666666667]",0.99
100,3,"[0.3166666666666667, 0.289, 0.39433333333333337]",0.9500000000000001
101,3,"[0.12, 0.17666666666666667, 0.7033333333333333]",0.9866666666666667
102,3,"[0.7252252252252251, 0.15339506172839504, 0.12137971304637972]",0.9421171171171171
103,3,"[0.12, 0.1416666666666667, 0.7383333333333333]",0.9966666666666667
104,3,"[0.24471744471744472, 0.25477598810932145, 0.5005065671732338]",0.9975187308520642
105,3,"[0.31743810477143813, 0.2860954287620954, 0.39646646646646655]",0.9932379045712378
106,3,"[0.3443333333333333, 0.28200000000000003, 0.37366666666666665]",0.9796666666666667
107,3,"[0.6783333333333333, 0.18333333333333335, 0.13833333333333334]",0.9866666666666667
108,3,"[0.6575508842175509, 0.18773273273273272, 0.15471638304971638]",0.9646006006006006
109,3,"[0.407, 0.2876666666666667, 0.3053333333333333]",0.966
110,3,"[0.45133333333333336, 0.26866666666666666, 0.28]",0.9976666666666667
111,3,"[0.25, 0.3, 0.45]",1.0
112,3,"[0.25833333333333336, 0.3, 0.44166666666666665]",0.9833333333333333
113,3,"[0.5813894455577823, 0.24316432865731463, 0.17544622578490313]",0.9928924515698063
114,3,"[0.33478478478478474, 0.2874287620954288, 0.3777864531197865]",0.9790016683350017
115,3,"[0.37333333333333335, 0.315, 0.3116666666666667]",0.9766666666666667
116,3,"[0.19000000000000003, 0.3173333333333333, 0.49266666666666675]",0.95
117,3,"[0.285, 0.31266666666666665, 0.4023333333333334]",0.9973333333333333
118,3,"[0.19499999999999998, 0.27, 0.535]",0.9726666666666667
119,3,"[0.6353333333333334, 0.2233333333333333, 0.14133333333333334]",0.9706666666666667
120,3,"[0.7633333333333333, 0.14933333333333332, 0.08733333333333333]",0.976
121,3,"[0.6253333333333333, 0.19533333333333336, 0.17933333333333334]",0.995
122,3,"[0.42333333333333334, 0.2773333333333334, 0.2993333333333333]",0.994
123,3,"[0.44333333333333336, 0.27499999999999997, 0.2816666666666667]",0.9733333333333334
124,3,"[0.15, 0.20000000000000004, 0.65]",1.0
125,3,"[0.2832832832832833, 0.24724724724724725, 0.4694694694694695]",1.0
126,3,"[0.5211721721721722, 0.28576476476476476, 0.19306306306306306]",0.9898038038038038
127,3,"[0.47466666666666674, 0.254, 0.27133333333333337]",0.9646666666666667
128,3,"[0.6873333333333335, 0.19166666666666665, 0.121]",0.9913333333333334
129,3,"[0.1943564356435644, 0.20597359735973597, 0.5996699669966996]",0.9980528052805281
130,3,"[0.3426666666666667, 0.271, 0.38633333333333336]",0.9773333333333334
131,3,"[0.4691541541541541, 0.2754260927594261, 0.2554197530864198]",0.9857344010677345
132,3,"[0.7185862529195862, 0.17338071404738073, 0.10803303303303302]",0.9488274941608275
133,3,"[0.45, 0.25, 0.3]",1.0
134,3,"[0.19672872872872874, 0.23374474474474474, 0.5695265265265265]",0.936
135,3,"[0.4183333333333333, 0.2763333333333334, 0.3053333333333333]",0.9893333333333333
136,3,"[0.725, 0.149, 0.126]",1.0
137,3,"[0.586, 0.247, 0.167]",1.0
138,3,"[0.471608040201005, 0.2675544388609715, 0.2608375209380234]",0.9750418760469012
139,3,"[0.3383333333333334, 0.29, 0.37166666666666665]",0.9766666666666667
140,3,"[0.6288625291958625, 0.22474774774774775, 0.14638972305638973]",0.9557250583917251
141,3,"[0.6252085418752086, 0.2283983983983984, 0.14639305972639305]",0.9420053386720053
142,3,"[0.5083333333333333, 0.3336666666666667, 0.158]",0.964
143,3,"[0.25, 0.3, 0.45]",1.0
144,3,"[0.4166666666666667, 0.2916666666666667, 0.2916666666666667]",0.9333333333333333
145,3,"[0.36333333333333334, 0.275, 0.36166666666666664]",0.9546666666666667
146,3,"[0.15, 0.2066666666666667, 0.6433333333333334]",0.9866666666666667
147,3,"[0.18166666666666664, 0.22666666666666666, 0.5916666666666667]",0.9866666666666667
148,3,"[0.9209999999999999, 0.07066666666666667, 0.008333333333333333]",0.9933333333333333
149,3,"[0.43252414252414256, 0.29956543456543455, 0.26791042291042294]",0.9947149517149517
150,3,"[0.6243333333333333, 0.21333333333333335, 0.16233333333333333]",0.923
151,3,"[0.42133333333333334, 0.26066666666666666, 0.318]",0.958
152,3,"[0.2833333333333333, 0.25666666666666665, 0.46]",0.9833333333333334
153,3,"[0.3416666666666666, 0.3193333333333333, 0.339]",0.9966666666666667
154,3,"[0.7416666666666667, 0.1376666666666667, 0.12066666666666666]",0.9746666666666667
155,3,"[0.5656666666666667, 0.2383333333333333, 0.19600000000000004]",0.9766666666666667
156,3,"[0.12, 0.17499999999999996, 0.705]",1.0
157,3,"[0.37666666666666665, 0.274, 0.34933333333333333]",0.9856666666666667
158,3,"[0.2383333333333333, 0.2853333333333333, 0.47633333333333333]",0.969
159,3,"[0.5318181818181819, 0.2542087542087542, 0.21397306397306395]",0.9712794612794613
160,3,"[0.441, 0.27, 0.289]",0.9786666666666667
161,3,"[0.711123580494322, 0.16445023380093518, 0.12442618570474283]",0.9702471609886439
162,3,"[0.31666666666666665, 0.3333333333333333, 0.35000000000000003]",0.8666666666666667
163,3,"[0.69345702679036, 0.20559120559120558, 0.10095176761843427]",0.9677313010646345
164,3,"[0.3433333333333333, 0.313, 0.34366666666666673]",0.9966666666666667
165,3,"[0.6192747837658018, 0.21419161676646706, 0.1665335994677312]",0.9527411842980705
166,3,"[0.5444309764309764, 0.26991919191919195, 0.18564983164983165]",0.9735117845117846
167,3,"[0.46177777777777784, 0.2389292929292929, 0.29929292929292933]",0.9892929292929293
168,3,"[0.45566666666666666, 0.266, 0.2783333333333334]",0.9886666666666667
169,3,"[0.5331515151515153, 0.2635420875420876, 0.20330639730639732]",0.9794882154882155
170,3,"[0.7173333333333334, 0.19466666666666668, 0.08800000000000001]",0.9346666666666666
171,3,"[0.45, 0.3133333333333333, 0.23666666666666666]",0.9933333333333333
172,3,"[0.6456666666666667, 0.22766666666666668, 0.12666666666666668]",0.975
173,3,"[0.385, 0.3033333333333333, 0.3116666666666667]",0.9866666666666667
174,3,"[0.33466666666666667, 0.33266666666666667, 0.33266666666666667]",0.9806666666666667
175,3,"[0.5516960587842351, 0.23147762191048762, 0.2168263193052772]",0.9710140280561123
176,3,"[0.7113333333333335, 0.19533333333333336, 0.09333333333333334]",0.9686666666666667
177,3,"[0.5295420875420875, 0.26282491582491585, 0.20763299663299664]",0.9746329966329966
178,3,"[0.345, 0.2733333333333334, 0.38166666666666665]",0.9866666666666667
179,3,"[0.44, 0.31833333333333336, 0.24166666666666667]",0.9766666666666667
180,3,"[0.524, 0.25333333333333335, 0.22266666666666668]",0.988
181,3,"[0.7946666666666666, 0.145, 0.06033333333333333]",0.9746666666666667
182,3,"[0.41333333333333333, 0.3236666666666667, 0.263]",0.9923333333333333
183,3,"[0.65, 0.19333333333333336, 0.15666666666666665]",0.9866666666666667
184,3,"[0.26166666666666666, 0.32466666666666666, 0.4136666666666667]",0.9616666666666667
185,3,"[0.6526666666666666, 0.20566666666666666, 0.14166666666666666]",0.988
186,3,"[0.4656666666666667, 0.26466666666666666, 0.26966666666666667]",0.9586666666666667
187,3,"[0.27566666666666667, 0.30266666666666664, 0.42166666666666663]",0.9866666666666667
188,3,"[0.2833333333333333, 0.31, 0.40666666666666673]",0.9166666666666667
189,3,"[0.311, 0.2926666666666667, 0.39633333333333337]",0.9386666666666666
190,3,"[0.4641551551551552, 0.28309509509509506, 0.25274974974974973]",0.9885715715715716
191,3,"[0.24833333333333332, 0.29433333333333334, 0.4573333333333333]",0.9853333333333334
192,3,"[0.4506666666666667, 0.27366666666666667, 0.27566666666666667]",0.9873333333333334
193,3,"[0.46166666666666667, 0.27, 0.26833333333333337]",0.9766666666666667
194,3,"[0.19999999999999998, 0.2783333333333333, 0.5216666666666666]",0.8533333333333334
195,3,"[0.35633333333333334, 0.277, 0.3666666666666667]",0.9913333333333333
196,3,"[0.14, 0.24333333333333332, 0.6166666666666667]",0.98
197,3,"[0.544, 0.244, 0.212]",1.0
198,3,"[0.15, 0.20000000000000004, 0.65]",1.0
199,3,"[0.42166666666666663, 0.27133333333333337, 0.307]",0.9823333333333333
