idx,y,ok,p_H,p_D,p_A,consistency,ui,scs,odds_H,odds_D,odds_A
35,0,1,0.7,0.2,0.1,1.0,0.27,1.263157894736842,1.42,5.0,6.25
36,2,1,0.55,0.25,0.2,1.0,0.32999999999999996,1.631578947368421,1.55,4.33,5.25
37,0,1,0.55,0.26,0.19,1.0,0.2774999999999999,1.2289473684210521,1.8,3.7,4.33
38,0,1,0.32,0.28,0.4,1.0,0.463699742159537,2.2808052986074396,3.4,3.5,2.1
39,2,1,0.25,0.28,0.47,1.0,0.512,2.5,5.75,3.7,1.65
40,0,1,0.25,0.25,0.5,1.0,0.5,2.5,4.1,3.75,1.83
41,2,1,0.4,0.27,0.33,1.0,0.39,1.5,1.73,4.2,4.1
42,2,1,0.35,0.27,0.38,1.0,0.43799714553190006,1.7666476368793338,2.8,3.3,2.55
43,1,1,0.15,0.2,0.65,1.0,0.4109367513100768,2.3062450087338453,4.2,3.7,1.9
44,0,1,0.12,0.2,0.68,1.0,0.27799999999999997,1.9473684210526316,2.35,3.2,3.2
45,0,1,0.55,0.24,0.21,1.0,0.255,1.0,2.2,3.2,3.5
46,2,1,0.55,0.25,0.2,1.0,0.32999999999999996,1.5,1.91,3.6,3.9
47,1,1,0.3,0.28,0.42,1.0,0.4292855152500987,2.157342031491886,3.3,3.2,2.3
48,2,1,0.3,0.27,0.43,1.0,0.528,2.947368421052632,12.0,6.5,1.22
49,1,1,0.55,0.26,0.19,1.0,0.32999999999999996,1.8421052631578947,1.29,5.75,10.0
50,2,1,0.5,0.27,0.23,1.0,0.35,1.5,1.3,5.5,9.5
51,0,1,0.4,0.28,0.32,1.0,0.39,1.5,1.53,4.75,5.25
52,0,1,0.48,0.27,0.25,1.0,0.358,1.8947368421052633,1.33,5.5,8.5
53,1,1,0.3,0.28,0.42,1.0,0.382,1.5,1.75,3.4,5.25
54,1,1,0.43,0.25,0.32,1.0,0.378,1.5,1.48,4.5,6.5
55,1,1,0.4,0.28,0.32,1.0,0.24,0.8947368421052632,2.35,3.25,3.1
56,0,1,0.34,0.28,0.38,1.0,0.4289085138715386,1.8902672854593805,2.88,3.3,2.45
57,0,1,0.38,0.28,0.34,1.0,0.4154243972461016,1.8003731746231333,2.2,3.3,3.4
58,2,1,0.2,0.25,0.55,1.0,0.48,2.526315789473684,8.5,5.0,1.33
59,0,1,0.7,0.2,0.1,1.0,0.27,1.8421052631578947,1.47,4.2,6.5
60,1,1,0.34,0.28,0.38,1.0,0.398,1.8947368421052633,1.82,3.5,4.33
61,2,1,0.4,0.28,0.32,1.0,0.39,1.5,1.95,3.6,3.7
62,1,1,0.4,0.28,0.32,1.0,0.5380888624298253,2.8819959249707656,3.4,3.6,2.05
63,0,1,0.42,0.27,0.31,1.0,0.382,1.5,2.3,3.3,3.1
64,2,1,0.38,0.28,0.34,1.0,0.548,2.947368421052632,4.2,3.6,1.85
65,0,1,0.3,0.28,0.42,1.0,0.2708754859416985,0.8381172746990425,2.75,3.3,2.55
66,0,1,0.45,0.27,0.28,1.0,0.37,1.5,1.42,4.5,8.0
67,0,1,0.5,0.27,0.23,1.0,0.2,0.7894736842105263,1.75,3.5,5.0
68,0,1,0.3,0.27,0.43,1.0,0.41664996714781344,1.994508552915247,3.2,3.7,2.15
69,1,1,0.43,0.25,0.32,1.0,0.378,1.5,1.95,3.8,3.5
70,1,1,0.3,0.27,0.43,1.0,0.528,2.5,3.0,3.0,2.55
71,0,1,0.5,0.27,0.23,1.0,0.3124999999999999,1.486842105263157,2.2,3.4,3.25
72,0,1,0.3,0.28,0.42,1.0,0.23200000000000004,0.8421052631578947,1.7,3.5,5.5
73,1,1,0.35,0.28,0.37,1.0,0.402,1.5,1.95,3.2,4.33
74,0,1,0.6,0.24,0.16,1.0,0.31000000000000005,1.5,1.36,5.0,8.5
75,2,1,0.34,0.28,0.38,1.0,0.398,1.9473684210526316,2.9,3.6,2.3
76,2,1,0.31,0.28,0.41,1.0,0.386,1.9473684210526316,2.0,3.1,4.33
77,1,1,0.34,0.28,0.38,1.0,0.398,1.5789473684210527,2.35,3.4,3.0
78,2,1,0.34,0.28,0.38,1.0,0.548,2.947368421052632,7.0,3.7,1.53
79,0,1,0.55,0.25,0.2,1.0,0.37240999059127866,1.966943796924314,2.8,3.1,2.6
80,2,1,0.36,0.29,0.35,1.0,0.29350000000000015,1.0921052631578956,2.45,3.2,3.0
81,0,1,0.3,0.28,0.42,1.0,0.2695000000000002,0.8815789473684219,2.35,2.88,3.6
82,0,1,0.45,0.27,0.28,1.0,0.29500000000000004,1.236842105263158,2.15,3.25,3.6
83,0,1,0.45,0.27,0.28,1.0,0.37,1.736842105263158,1.91,3.6,3.75
84,1,1,0.4,0.28,0.32,1.0,0.54,2.6842105263157894,3.9,3.4,2.0
85,2,1,0.3,0.28,0.42,1.0,0.4045,1.7289473684210526,5.25,3.5,1.73
86,2,1,0.3,0.27,0.43,1.0,0.34050000000000014,1.6447368421052642,2.45,3.1,3.1
87,0,1,0.55,0.25,0.2,1.0,0.32999999999999996,1.631578947368421,1.4,4.33,9.0
88,0,1,0.3,0.28,0.42,1.0,0.4427126911050264,2.088961800349299,3.3,3.1,2.3
89,1,1,0.3,0.28,0.42,1.0,0.532,2.736842105263158,4.33,3.75,1.8
90,0,1,0.3,0.28,0.42,1.0,0.4350493544328411,2.1957676260435015,2.88,3.1,2.63
91,1,1,0.5,0.27,0.23,1.0,0.4912284000840006,2.5204700356477234,5.5,3.5,1.7
92,0,1,0.46,0.28,0.26,1.0,0.366,1.8421052631578947,1.67,3.9,4.75
93,2,1,0.3,0.28,0.42,1.0,0.382,1.9473684210526316,2.6,3.8,2.45
94,0,1,0.8,0.13,0.07,1.0,0.22999999999999998,1.368421052631579,1.17,7.5,13.0
95,0,1,0.52,0.26,0.22,1.0,0.34199999999999997,1.8947368421052633,1.57,4.5,5.0
96,0,1,0.35,0.28,0.37,1.0,0.402,1.7894736842105263,1.48,4.75,5.75
97,0,1,0.3,0.28,0.42,1.0,0.40009032388744026,1.4890232118811804,2.5,3.3,2.75
98,2,1,0.2,0.28,0.52,1.0,0.382639129996048,2.007769638570144,3.4,3.2,2.25
99,2,1,0.45,0.28,0.27,1.0,0.37,1.2105263157894737,1.91,3.75,3.75
100,2,1,0.38,0.28,0.34,1.0,0.36972673800582057,1.49572211302126,3.3,3.4,2.15
101,2,1,0.3,0.27,0.43,1.0,0.378,1.6842105263157894,8.5,5.25,1.33
102,0,1,0.42,0.28,0.3,1.0,0.382,1.736842105263158,1.4,5.25,7.0
103,2,1,0.2,0.22,0.58,1.0,0.3330000000000001,2.0473684210526315,9.0,6.0,1.29
104,1,1,0.38,0.28,0.34,1.0,0.41762137844057406,2.0255460317090903,3.6,3.9,1.91
105,0,1,0.45,0.28,0.27,1.0,0.3967949525180967,1.4944224904715215,3.1,3.3,2.3
106,0,1,0.45,0.27,0.28,1.0,0.42840970262486,2.0209769648674873,2.8,3.4,2.45
107,0,1,0.45,0.27,0.28,1.0,0.22000000000000003,0.9473684210526316,1.4,4.75,6.5
108,0,1,0.4,0.28,0.32,1.0,0.39,1.8421052631578947,1.42,5.25,6.25
109,0,1,0.4,0.28,0.32,1.0,0.3524999999999998,1.486842105263157,2.6,3.3,2.7
110,1,1,0.4,0.28,0.32,1.0,0.39,1.8421052631578947,2.15,3.5,3.2
111,1,1,0.18,0.22,0.6,1.0,0.377001927673566,1.9729953072974573,3.2,3.5,2.2
112,2,1,0.34,0.28,0.38,1.0,0.398,1.736842105263158,3.25,3.2,2.3
113,0,1,0.35,0.28,0.37,1.0,0.402,1.9473684210526316,1.73,4.0,4.5
114,0,1,0.3,0.27,0.43,1.0,0.4384266045275911,2.1923177143944668,3.1,3.3,2.3
115,0,1,0.42,0.28,0.3,1.0,0.382,1.5263157894736843,2.55,3.0,3.0
116,2,1,0.3,0.28,0.42,1.0,0.532,2.947368421052632,5.25,3.2,1.83
117,1,1,0.32,0.28,0.4,1.0,0.389677452660247,1.8399549475595416,3.2,3.0,2.4
118,1,1,0.45,0.28,0.27,1.0,0.52,2.8421052631578947,4.75,3.5,1.77
119,0,1,0.42,0.28,0.3,1.0,0.382,1.8421052631578947,1.52,3.9,6.5
